French Phrase|English Translation|Literal Translation
A bientôt|See you later.|To soon.
A ce soir|See you tonight.|To this evening.
A combien de kilomètres est la Pennsylvanie ?|How many kilometers is it to Pennsylvania?|At how many of kilometers is the Pennsylvania?
A demain|See you tomorrow.|To tomorrow.
A droite|On the right.|To right.
A gauche|On the left.|To left.
A l'aide|Help!|To the aid.
A l'extérieur de l'hôtel|Outside the hotel.|At the exterior of the hotel.
A peu près trois cents kilomètres|About 300 kilometers.|At little near three hundred kilometers.
A quelle école est-ce que tu es allé ?|What school did you go to?|At what school is it that you are gone?
A quelle heure est-ce arrivé ?|At what time did it happen?|At what hour is it arrived?
A quelle heure est-ce que ça commence ?|What time does it start?|At what hour is it that that starts?
A quelle heure est-ce que le film commence ?|What time does the movie start?|At what hour is it that the movie starts?
A quelle heure est-ce que le magasin ouvre ?|What time does the store open?|At what hour is it that the store opens?
A quelle heure est-ce que tu penses que tu vas arriver ?|What time do you think you'll arrive?|At what hour is it that you think that you go to arrive?
A quelle heure est-ce que tu t'es couché ?|What time did you go to sleep?|At what hour is it that you yourself are bedded?
A quelle heure est-ce que tu t'es levé ?|What time did you get up?|At what hour is it that you yourself are raised?
A quelle heure est-ce que tu t'es réveillé ?|What time did you wake up?|At what hour is it that you yourself are awakened?
A quelle heure est-ce que tu vas aller à la gare routière ?|What time are you going to the bus station?|At what hour is it that you go to go to the station road?
A quelle heure est-ce que tu vas au travail chaque jour ?|What time do you go to work everyday?|At what hour is it that you go to the work each day?
A quelle heure est-ce qu'ils arrivent ?|What time are they arriving?|At what hour is it that they arrive?
A quelle heure est-ce qu'on doit libérer la chambre ?|What time is check out?|At what hour is it that one must free the room?
A quelle heure ?|At what time?|At what hour?
A qui est ce livre ?|Whose book is that?|To whom is this book?
A qui voudrais-tu parler ?|Who would you like to speak to?|To whom would want you to speak?
A quoi tu penses ?|What are you thinking about?|At what you think?
A sept heures du matin ?|At 7 o'clock in the morning.|At seven hours of the morning?
A sept heures du soir|At 7 o'clock at night.|At seven hours of the evening.
A trois heures de l'après-midi|At 3 o'clock in the afternoon.|At three hours of the after-middle-day.
A trois heures|At 3 o'clock.|At three hours.
Allez tout droit|Go straight ahead.|Go all straight.
Allons voir|Let's go have a look.|Let’s go see.
Allons-y|Let's go.|Let’s go there.
Amy est la petite amie de John|Amy is John's girlfriend.|Amy is the little friend of John.
Appelle la police|Call the police.|Call the police.
Appelle-moi|Call me.|Call me.
Apporte-moi ma chemise s'il te plaît|Bring me my shirt please.|Bring me my shirt if it you pleases.
Arrête|Stop!|Stop.
As-tu besoin de quelque chose ?|Do you need anything?|Have you need of something?
As-tu peur ?|Are you afraid?|Have you fear?
As-tu reçu mon e-mail ?|Did you get my e-mail?|Have you received my email?
Au deuxième étage|On the second floor.|At the second floor.
Avez-vous besoin d'autre chose ?|Do you need anything else?|Have you need of other thing?
Bien sûr|Of course.|Well sure.
Bon après-midi|Good afternoon.|Good after-middle-day.
Bonjour, est-ce que Madame Smith est là, s'il vous plaît ?|Good day, Is Mrs. Smith there, please?|Good day, is it that Madam Smith is there, if it you pleases?
Bonjour|Good morning / Good day.|Good day.
Bonne chance|Good Luck.|Good luck.
Bonne idée|Good idea.|Good idea.
Bonsoir Monsieur|Good evening sir.|Good evening Mister.
Ça a l'air super|That looks great.|That has the air super.
Ça a l'air vieux|That looks old.|That has the air old.
Ça coûte vingt dollars de l'heure|It costs 20 dollars per hour.|That costs twenty dollars of the hour.
