Tags	Traveler Usefulness (1-10)	English	Romanji	Japanese
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	add	tasu	足す / たす
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	answer	kotaeru	答える / こたえる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	arrive	tsuku	着く / つく
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	bathe, take a shower	abiru	浴びる / あびる
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	be	iru	居る / いる
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	be able	dekiru	出来る / できる
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	be born	umareru	生まれる / うまれる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	be cured, healed	naoru	直る / なおる
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	be defeated, lose a game	makeru	負ける / まける
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	be different, wrong	chigau	違う / ちがう
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	be enough, suffient	tariru	足りる / たりる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	be found	mitsukaru	見つかる / みつかる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	be glad, pleased	yorokobu	喜ぶ
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	be in trouble	komaru	困る / こまる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	be missing, vanish	nakunaru	無くなる / なくなる
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	be visible, able to see	mieru	見える / みえる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	become	naru	なる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	become crowded	komu	込む / こむ
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	become wet	nureru	濡れる / ぬれる
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	begin	hajimeru	始める / はじめる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	begin	hajimaru	始まる / はじまる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	bloom	saku	咲く / さく
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	blow, wipe	fuku	吹く / ふく
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	board, ride on	noru	乗る / のる
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	borrow, rent	kariru	借りる / かりる
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	build	tateru	立てる / たてる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	buy	kau	買う / かう
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	call	yobu	呼ぶ / よぶ
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	check, investigate	shiraberu	調べる / しらべる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	choose, select	erabu	選ぶ / えらぶ
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	clear up, tidy up	hareru	晴れる / はれる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	climb	noboru	登る / のぼる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	close, be closed	shimaru	閉まる / しまる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	come	kuru	来る / くる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	come/go (humble)	mairu	参る / まいる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	continue, follow	tsuzuku	続く / つづく
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	continue, proceed	tsuzukeru	続ける / つづける
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	cross	wataru	渡る / わたる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	cry	naku	泣く / なく
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	cut	kiru	切る / きる
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	decide, choose	kimeru	決める
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	die	shinu	死ぬ / しぬ
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	do, give	yaru	やる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	do, make	suru	する
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	drink	nomu	飲む / のむ
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	eat	taberu	食べる / たべる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	end	owaru	終わる / おわる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	enjoy, have fun	tanoshimu	楽しむ / たのしむ
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	enter	hairu	入る / はいる
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	exchange	torikaeru	取り換える / とりかえる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	extract, take out	dasu	出す / だす
Vocabulary; Essential Verbs; Verb Class 2 (Ichidan)	6	fall down, collapse	taoreru	倒れる / たおれる
Vocabulary; Essential Verbs; Verb Class 1 (Godan)	6	fall from the sky	furu	降る / ふる
