Tags	Traveler Usefulness (1-10)	English	Romanji	Japanese
Common Responses; Negation / Inability	8	No, I can’t eat it.	Iie, taberaremasen.	いいえ、食べられません。
Common Responses; Affirmation	3	Yes, I do.	Hanashimasu.	話します。
Common Responses; Agreement	5	Of course.	Mochiron.	もちろん。
Food & Drink; Questions	4	Can you eat Sushi?	Sushi ga taberaremasu ka?	寿司が食べられますか？
Comprehension; Questions	9	Do you understand?	Wakarimasu ka?	わかりますか？
Comprehension; Common Responses	9	I understand.	Wakarimashita.	わかりました。
Comprehension; Common Responses	10	I don’t understand.	Wakarimasen.	わかりません。
Common Responses; Negation / Inability	8	No I don’t. (speak)	Hanashimasen.	話しません。
Language; Questions	10	Do you speak English?	Eigo o hanashimasu ka?	英語を話しますか？
General; Greetings	10	Hello.	Konnichiwa.	こんにちは。
Polite Expressions; Getting Attention / Apology	10	Excuse me.	Sumimasen.	すみません。
Apology; Polite Expressions	9	I’m sorry.	Gomennasai.	ごめんなさい。
Requests; Polite Expressions	10	Please.	O-negai shimasu.	お願いします。
Common Responses; Basic Answers	10	Yes.	Hai.	はい。
Common Responses; Basic Answers	10	No.	Iie.	いいえ。
Gratitude; Expressing Thanks	10	Thank you.	Arigato.	ありがとう。
Initial Meeting; Introductions	6	Nice to meet you.	Hajimemashite.	はじめまして。
Expressing Thanks (Formal); Gratitude	9	Thank you very much. (very formal)	Domo arigato gozaimasu.	どうもありがとうございます。
Expressing Thanks (Casual); Gratitude	7	Thanks. (casual)	Domo.	どうも。
Expressing Thanks (Casual); Gratitude	10	Thank you. (casual)	Arigato.	ありがとう。
Gratitude; Expressing Thanks (Specific)	4	Thank you for telling me.	Oshiete kurete arigato.	教えてくれてありがとう。
Gratitude; Expressing Thanks (Specific)	3	Thank you for coming.	Kiteitadaite, domo arigato gozaimasu.	来ていただいて、どうもありがとうございます。
Responding to Thanks; Gratitude	7	You're welcome.	Doitashimashite.	どういたしまして。
Responding to Thanks; Gratitude	6	It's no big deal. / Don't mention it.	Iie, iie.	いいえ、いいえ。
Responding to Thanks; Gratitude	5	Oh, no. Thank YOU! (polite form)	Tondemo nai desu.	とんでもないです。
Responding to Thanks; Gratitude	5	The pleasure is mine. (polite form)	Kochira koso.	こちらこそ。
Expressing Thanks (Formal); Gratitude	9	Thank you very much!	Arigato gozaimasu.	ありがとうございます！
Responding to Thanks; Gratitude	7	"(Response to ""Thank you very much"") You're welcome."	Do itashimashite.	どういたしまして。
Expressing Thanks (Formal); Gratitude	9	Thank you very much.	Domo arigato gozaimasu.	どうもありがとうございます。
